stance_label	coder_id	id	stance_numeric	relevance_label	relevance_numeric
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2509403436.xml.txt	stance:::Against/Opposes		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/2730261179.xml.txt	stance:::Neutral		
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2053215813.xml.txt	stance:::Against/Opposes		
In Favor/Supports	6074391ef6527366aa827f42	aa_opeds_sample/txt/420033919.xml.txt	stance:::In Favor/Supports		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/432876223.xml.txt	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/399070959.xml.txt	stance:::Neutral		
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2090998076.xml.txt	stance:::Against/Opposes		
Neutral	6074391ef6527366aa827f42	test_question_neutral_testing_1	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/2213159829.xml.txt	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/422176235.xml.txt	stance:::Neutral		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/409936292.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/421609713.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/2454579785.xml.txt	stance:::In Favor/Supports		
Neutral	6287748198aa98c765deff27	aa_opeds_sample/txt/432991807.xml.txt	stance:::Neutral		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/409060590.xml.txt	stance:::None/Not Discussed		
Against/Opposes	6287748198aa98c765deff27	test_question_against_testing_1	stance:::Against/Opposes		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/1919844871.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/421152514.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/418249271.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/2832643195.xml.txt	stance:::In Favor/Supports		
Neutral	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2053215813.xml.txt	stance:::Neutral		
In Favor/Supports	63ed99d5c3520191a0a7280e	test_question_pro_testing_1	stance:::In Favor/Supports		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/409060590.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/398482848.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/421609713.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2213159829.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2832643195.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/432415722.xml.txt	stance:::In Favor/Supports		
Against/Opposes	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/398288078.xml.txt	stance:::Against/Opposes		
Neutral	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/1548604795.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/1372854272.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/420294538.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/424505995.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/410325615.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/421978637.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/398881739.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/419426239.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	test_question_neutral_testing_1	stance:::Neutral		
In Favor/Supports	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/1761271674.xml.txt	stance:::In Favor/Supports		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/2230209410.xml.txt	stance:::Neutral		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/432317583.xml.txt	stance:::In Favor/Supports		
